"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","销售管理","0","销售订单类型和订单项目行分配管理","4","0","订单项目行分配管理","0"
"0","销售管理","0","销售订单审批流程","6","0","销售订单审批流程","0"
"0","销售管理","0","销售订单主表管理","16","0","销售订单","0"
"0","销售管理","0","返利获得流程","6","0","返利获得流程","0"
"0","销售管理","0","销售渠道管理","9","0","销售渠道管理","0"
"0","销售管理","0","订单类型定义管理","2","0","订单类型定义管理","0"
"0","销售管理","0","外部订单相关接口","0","4","","0"
"0","销售管理","0","销售渠道管理","0","4","","0"
"0","销售管理","0","返利政策管理","11","0","返利政策管理","0"
"0","销售管理","0","销售订单删除管理","2","0","销售订单","0"
"0","销售管理","0","寻仓规则配置管理","10","0","寻仓规则配置管理","0"
"0","销售管理","0","销售审单规则管理","6","0","销售审单规则管理","0"
"0","销售管理","0","订单类型定义管理","0","4","","0"
"0","","0","","9","0","","0"
"0","销售管理","0","订单行项目类型组管理","5","0","订单行项目类型组管理","0"
"0","销售管理","0","标准销售订单流程","3","0","标准销售订单流程","0"
"0","销售管理","0","销售订单报价","10","0","销售订单报价流程","0"
"0","销售管理","0","报价单管理","12","0","报价单管理","0"
"0","销售管理","0","订单行项目类型定义管理","2","0","订单行项目类型定义管理","0"
"0","销售管理","0","订单行项目类型定义管理","0","4","","0"
"0","销售管理","0","销售订单类型和订单项目行分配管理","1","0","销售订单类型管理","0"
"0","销售管理","0","销售订单-组织详情","1","0","销售订单","0"
"0","销售管理","0","寻仓规则配置管理","0","3","","0"
"0","销售管理","0","返利政策使用流程","1","0","返利政策使用","0"
"0","销售管理","0","销售审单规则管理","0","3","","0"
"0","销售管理","0","订单行项目类型定义管理","1","0","订单项目行分配管理","0"
