"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试停用审单规则","60","停用审单规则","testcases.scm_sls.so_03_approve","2025-09-23","passed","2025-09-23","TestSalesOrderApproval","test_so_approve","",""
"测试开启审单规则","73","开启审单规则","testcases.scm_sls.so_03_approve","2025-09-23","passed","2025-09-23","TestSalesOrderApproval","test_so_approve","",""
"测试创建草稿态报价单并编辑保存","1385","测试创建草稿态报价单并编辑保存","testcases.scm_sls.so_04_quote","2025-09-23","passed","2025-09-23","TestQuoteCrud","test_quote_crud","",""
"查询订单行项目类型组分页列表用例","313","测试查询订单行项目类型组分页列表","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSlsItemTypeGroupManagement","test_sls_item_type_group_management","",""
"SO-查看定价记录服务","964","SO-查看定价记录服务","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoHeadManagement","test_so_create","",""
"根据外部订单行号批量作废","0","test_batch_cancel_line_by_external_line","testcases.scm_sls.external","2025-09-23","skipped","2025-09-23","TestSlsExternal","test_sls_external","",""
"测试销售订单编辑提交","1188","销售订单编辑提交","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSalesOrderOperator","test_so_operator","",""
"SLS-销售订单-提交服务","1076","SLS-销售订单-提交服务","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoHeadManagement","test_so_operator","",""
"查询订单行项目类型组详情用例","120","测试查询订单行项目类型组详情","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSlsItemTypeGroupManagement","test_sls_item_type_group_management","",""
"测试创建草稿态报价单","94","创建草稿态报价单","testcases.scm_sls.so_04_quote","2025-09-23","passed","2025-09-23","TestQuotePrimary","test_quote_primary","",""
"测试基于已生效销售订单创建交货单","2659","订单发货创建交货单","testcases.scm_sls.so_02_primary","2025-09-23","passed","2025-09-23","TestStandardSalesOrder","test_stnd_primary","",""
"停用销售审单规则并清理缓存用例","146","测试停用销售审单规则并清理缓存","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSoApprovalRuleManagement","test_so_approval_rule_management","",""
"测试作废已生效报价单","434","测试作废已生效报价单","testcases.scm_sls.so_04_quote","2025-09-23","passed","2025-09-23","TestQuoteCrud","test_quote_crud","",""
"测试分页查询销售渠道","65","测试分页查询销售渠道","testcases.scm_sls.md","2025-09-23","passed","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"测试销售订单列表提交","1218","销售订单列表提交","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSalesOrderOperator","test_so_operator","",""
"SO-维护发货计划行服务","1267","SO-维护发货计划行服务","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoHeadManagement","test_so_create","",""
"外部价格主数据接口","0","test_external_price_master_data","testcases.scm_sls.external","2025-09-23","skipped","2025-09-23","TestSlsExternal","test_sls_external","",""
"寻仓规则配置表标准导出服务用例","0","test_wh_find_rule_export_service","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestWhFindRuleManagement","test_wh_find_rule_management","",""
"测试提交复制的销售订单","1036","提交复制的销售订单","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSalesOrderOperator","test_so_operator","",""
"测试销售渠道导出任务管理","0","test_export_task_sls_dc","testcases.scm_sls.md","2025-09-23","skipped","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"销售订单页面完整查询","689","销售订单页面完整查询","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoHeadManagement","test_so_create","",""
"销售订单类型分页查询用例","71","测试销售订单类型分页查询","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSoTypeDetmManagement","test_so_type_detm_management","",""
"测试查询销售订单详情","789","查询销售订单详情","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSalesOrderOperator","test_so_operator","",""
"测试销售渠道导入任务管理","0","test_import_task_sls_dc","testcases.scm_sls.md","2025-09-23","skipped","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"销售审单规则标准导入服务用例","0","test_so_approval_rule_import_service","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestSoApprovalRuleManagement","test_so_approval_rule_management","",""
"SLS-销售订单-提交服务","1075","SLS-销售订单-提交服务","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoHeadManagement","test_so_create","",""
"测试导出销售渠道","0","test_export_sls_dc","testcases.scm_sls.md","2025-09-23","skipped","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"测试根据销售组织查询销售渠道","213","测试根据销售组织查询销售渠道","testcases.scm_sls.md","2025-09-23","passed","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"订单行项目类型定义表标准导入服务用例","0","test_so_item_type_import_service","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestSoItemTypeManagement","test_so_item_type_management","",""
"测试查询销售渠道详情","105","测试查询销售渠道详情","testcases.scm_sls.md","2025-09-23","passed","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"SLS-销售订单-保存服务","615","SLS-销售订单-保存服务","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoHeadManagement","test_so_operator","",""
"寻仓规则配置表标准导入服务用例","0","test_wh_find_rule_import_service","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestWhFindRuleManagement","test_wh_find_rule_management","",""
"SLS-销售订单-按组织id查询组织详情服务","217","SLS-销售订单-按组织id查询组织详情服务","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoOrgQuery","test_so_others","",""
"测试创建销售订单并提交，然后审批拒绝","2024","创建订单并审批拒绝","testcases.scm_sls.so_03_approve","2025-09-23","passed","2025-09-23","TestSalesOrderApproval","test_so_approve","",""
"订单类型定义表-导入导出任务管理接口-通过OSS提交导入任务用例","0","test_so_type_oss_import_task","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestSoTypeManagement","test_so_type_management","",""
"SLS-销售订单-保存服务","897","SLS-销售订单-保存服务","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoHeadManagement","test_so_create","",""
"销售审单规则-导入导出任务管理接口-提交导出任务用例","185","测试销售审单规则-导入导出任务管理接口-提交导出任务","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSoApprovalRuleManagement","test_so_approval_rule_management","",""
"寻仓规则配置表-导入导出任务管理接口-提交导出任务用例","85","测试寻仓规则配置表-导入导出任务管理接口-提交导出任务","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestWhFindRuleManagement","test_wh_find_rule_management","",""
"订单项目行分配详情查询用例","162","测试订单项目行分配详情查询","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSoTypeDetmManagement","test_so_type_detm_management","",""
"寻仓规则配置表-导入导出任务管理接口-通过OSS提交导入任务用例","0","test_wh_find_rule_oss_import_task","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestWhFindRuleManagement","test_wh_find_rule_management","",""
"SCM-销售订单行项目类型分页查询用例","228","测试SCM-销售订单行项目类型分页查询","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSoItemTypeManagement","test_so_item_type_management","",""
"订单项目行分配表标准导出服务用例","0","test_so_item_detm_export_service","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestSoItemTypeManagement","test_so_item_type_management","",""
"测试启用销售渠道","392","测试启用销售渠道","testcases.scm_sls.md","2025-09-23","passed","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"销售审单规则标准导出服务用例","0","test_so_approval_rule_export_service","testcases.scm_sls.cf","2025-09-23","skipped","2025-09-23","TestSoApprovalRuleManagement","test_so_approval_rule_management","",""
"测试报价单生成订单","1782","报价单生成订单","testcases.scm_sls.so_04_quote","2025-09-23","passed","2025-09-23","TestQuotePrimary","test_quote_primary","",""
"批量删除销售订单","3122","批量删除订单","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSoDeleteManagement","test_so_delete","",""
"寻仓规则停用用例","215","测试寻仓规则停用","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestWhFindRuleManagement","test_wh_find_rule_management","",""
"测试创建销售渠道","139","测试创建销售渠道","testcases.scm_sls.md","2025-09-23","passed","2025-09-23","TestSlsDcManagement","test_sls_dc_management","",""
"测试冻结销售订单","583","冻结销售订单","testcases.scm_sls.so_01_crud","2025-09-23","passed","2025-09-23","TestSalesOrderOperator","test_so_operator","",""
"寻仓规则详情查询用例","141","测试寻仓规则详情查询","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestWhFindRuleManagement","test_wh_find_rule_management","",""
"保存销售审单规则用例","90","测试保存销售审单规则","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSoApprovalRuleManagement","test_so_approval_rule_management","",""
"订单类型定义表-导入导出任务管理接口-提交导出任务用例","79","测试订单类型定义表-导入导出任务管理接口-提交导出任务","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestSoTypeManagement","test_so_type_management","",""
"寻仓规则删除用例","327","测试寻仓规则删除","testcases.scm_sls.cf","2025-09-23","passed","2025-09-23","TestWhFindRuleManagement","test_wh_find_rule_management","",""
"测试提交草稿态报价单","1480","提交草稿态报价单","testcases.scm_sls.so_04_quote","2025-09-23","passed","2025-09-23","TestQuotePrimary","test_quote_primary","",""
