"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试步骤：1.使用合作伙伴ID调用停用接口 2.验证响应结果","165","Test: test_partner_disable","testcases.gen","Mon May 26 16:34:26 CST 2025","passed","Mon May 26 16:34:26 CST 2025","TestPartners","test_partners","",""
"测试步骤：1.使用合作伙伴ID调用删除接口 2.验证响应结果","224","Test: test_partner_delete","testcases.gen","Mon May 26 16:34:26 CST 2025","passed","Mon May 26 16:34:26 CST 2025","TestPartners","test_partners","",""
"
    测试步骤：
    1. 按单据状态查询销售订单列表
    ","0","按单据状态查询销售订单列表","testcases.sls","Mon May 26 16:34:27 CST 2025","broken","Mon May 26 16:34:27 CST 2025","TestOrderList","test_02_orderlist_query","",""
"
    测试步骤：
    1. 按单据类型查询销售订单列表
    ","0","按单据类型查询销售订单列表","testcases.sls","Mon May 26 16:34:27 CST 2025","broken","Mon May 26 16:34:27 CST 2025","TestOrderList","test_02_orderlist_query","",""
"测试步骤：1.使用合作伙伴ID调用启用接口 2.验证响应结果","87","Test: test_partner_enable","testcases.gen","Mon May 26 16:34:26 CST 2025","passed","Mon May 26 16:34:26 CST 2025","TestPartners","test_partners","",""
"测试步骤：1.使用新增的合作伙伴编码查询 2.验证查询结果","75","Test: test_partner_search","testcases.gen","Mon May 26 16:34:25 CST 2025","passed","Mon May 26 16:34:25 CST 2025","TestPartners","test_partners","",""
"测试步骤：1.生成合作伙伴基础信息 2.调用新增接口 3.验证响应结果","99","Test: test_partner_add","testcases.gen","Mon May 26 16:34:24 CST 2025","passed","Mon May 26 16:34:24 CST 2025","TestPartners","test_partners","",""
"测试步骤：1.生成物料基础信息 2.调用新增接口 3.验证响应结果","112","Test: test_mat_add","testcases.gen","Mon May 26 16:34:23 CST 2025","passed","Mon May 26 16:34:23 CST 2025","TestMatAdd","test_mat_add","",""
"
    测试步骤：
    1. 按客户查询销售订单列表
    ","0","按客户查询销售订单列表","testcases.sls","Mon May 26 16:34:26 CST 2025","broken","Mon May 26 16:34:26 CST 2025","TestOrderList","test_02_orderlist_query","",""
"测试步骤：1.验证前置条件 2.调用停用接口 3.验证响应结果","88","Test: test_mat_disable","testcases.gen","Mon May 26 16:34:25 CST 2025","passed","Mon May 26 16:34:25 CST 2025","TestMatAdd","test_mat_add","",""
"测试步骤：1.验证前置条件 2.调用启用接口 3.验证响应结果","92","Test: test_mat_enable","testcases.gen","Mon May 26 16:34:24 CST 2025","passed","Mon May 26 16:34:24 CST 2025","TestMatAdd","test_mat_add","",""
